Timestamp;Numpack;O1;O2;T3;T4;Timestamp_ms;label
307;153;-0,041231576;-0,056827599;-0,051645328;-0,054251532;1708638582425;Relax
308;153;-0,041206781;-0,056823785;-0,051644565;-0,054264502;1708638582425;Relax
309;154;-0,041155664;-0,056835992;-0,051637317;-0,054257635;1708638582425;Relax
310;154;-0,041162912;-0,056854684;-0,051643039;-0,054249243;1708638582425;Relax
311;155;-0,041221658;-0,056871468;-0,051651813;-0,054246191;1708638582441;Relax
312;155;-0,041248361;-0,05687719;-0,051649906;-0,054238943;1708638582441;Relax
313;156;-0,041198007;-0,056868035;-0,051644565;-0,054238562;1708638582441;Relax
314;156;-0,041144982;-0,056866128;-0,051646091;-0,054235129;1708638582441;Relax
315;157;-0,041150323;-0,056882913;-0,051643421;-0,054233984;1708638582473;Relax
316;157;-0,041219369;-0,056902367;-0,051637317;-0,054226736;1708638582473;Relax
317;158;-0,041212884;-0,05689779;-0,051626255;-0,054216437;1708638582473;Relax
318;158;-0,041163675;-0,056893975;-0,051618244;-0,054218725;1708638582473;Relax
319;159;-0,041129724;-0,05690046;-0,051615574;-0,054224066;1708638582489;Relax
320;159;-0,041145745;-0,056918389;-0,051613666;-0,054220633;1708638582489;Relax
321;160;-0,041205255;-0,056945092;-0,051624347;-0,054219107;1708638582489;Relax
322;160;-0,041222802;-0,05696264;-0,051629306;-0,054219488;1708638582489;Relax
323;161;-0,041195718;-0,05696531;-0,051629306;-0,054221396;1708638582489;Relax
324;161;-0,041143075;-0,056950814;-0,05162511;-0,054210715;1708638582489;Relax
325;162;-0,041150323;-0,056957299;-0,051629306;-0,054207663;1708638582489;Relax
326;162;-0,041191522;-0,056977899;-0,05162511;-0,054198126;1708638582489;Relax
327;163;-0,041223947;-0,056979424;-0,051613285;-0,054193167;1708638582504;Relax
328;163;-0,04117817;-0,05697561;-0,051606418;-0,054188971;1708638582504;Relax
329;164;-0,041123239;-0,056973702;-0,051604511;-0,0541863;1708638582504;Relax
