_id;experiment;timestamp;timestamp_ms;signal_eeg_01;signal_eeg_02;signal_eeg_t3;signal_eeg_t4;resistance_eeg_01;resistance_eeg_02;resistance_eeg_t3;resistance_eeg_t4;label
;20240130101353;20240130_10:57:55,791;1706651875791;1,15827;0,448796;1,58785;0,0080106;;;;;RELAX
;20240130101353;20240130_10:57:55,811;1706651875811;-0,051733;-0,243807;-0,233274;-0,153645;;;;;RELAX
;20240130101353;20240130_10:57:55,828;1706651875828;-0,11884;-0,15674;-1,11475;-1,41255;;;;;RELAX
;20240130101353;20240130_10:57:55,844;1706651875844;-0,11884;-1,22245;-1,11475;-1,29454;;;;;RELAX
;20240130101353;20240130_10:57:55,861;1706651875861;-0,11884;-1,22245;-1,11475;-1,29454;;;;;RELAX
;20240130101353;20240130_10:57:55,876;1706651875876;0,125512;0,100334;0,619672;0,745039;;;;;RELAX
;20240130101353;20240130_10:57:55,894;1706651875894;0,011362;-0,061128;0,700707;-1,24606;;;;;RELAX
;20240130101353;20240130_10:57:55,913;1706651875913;-0,186632;-1,53388;1,17907;-0,13047;;;;;RELAX
;20240130101353;20240130_10:57:55,928;1706651875928;-1,15905;-1,84738;-0,148349;-1,59165;;;;;RELAX
;20240130101353;20240130_10:57:55,945;1706651875945;-2,19952;-1,08485;-2,21916;-0,272889;;;;;RELAX
;20240130101353;20240130_10:57:55,962;1706651875962;-0,0649414;-0,219706;-0,254366;1,31399;;;;;RELAX
;20240130101353;20240130_10:57:55,977;1706651875977;0,13158;0,0829108;1,35321;0,540673;;;;;RELAX
;20240130101353;20240130_10:57:55,993;1706651875993;0,10106;-0,727082;1,41781;-0,677623;;;;;RELAX
;20240130101353;20240130_10:57:56,011;1706651876011;0,911096;-0,298049;1,04211;0,0962493;;;;;RELAX
;20240130101353;20240130_10:57:56,026;1706651876026;-0,930753;-0,461819;-0,962235;0,054217;;;;;RELAX
;20240130101353;20240130_10:57:56,043;1706651876043;-1,19557;-0,674103;-1,14544;0,282078;;;;;RELAX
;20240130101353;20240130_10:57:56,060;1706651876060;-1,31782;-0,240703;-1,57197;-0,534631;;;;;RELAX
;20240130101353;20240130_10:57:56,076;1706651876076;0,196379;-0,665399;0,0951376;-1,04108;;;;;RELAX
;20240130101353;20240130_10:57:56,095;1706651876095;0,136284;-0,627919;0,924145;-0,792745;;;;;RELAX
;20240130101353;20240130_10:57:56,112;1706651876112;-2,57511;-1,43225;-1,63803;-1,27198;;;;;RELAX
;20240130101353;20240130_10:57:56,126;1706651876126;-2,12483;-2,13741;-2,16553;-1,36018;;;;;RELAX
;20240130101353;20240130_10:57:56,143;1706651876143;0,752842;-0,0296758;-0,213426;-1,08659;;;;;RELAX
;20240130101353;20240130_10:57:56,163;1706651876163;-0,14891;-1,01352;0,137065;-1,33584;;;;;RELAX
;20240130101353;20240130_10:57:56,176;1706651876176;-1,29161;-0,14164;-0,337262;-0,809278;;;;;RELAX
;20240130101353;20240130_10:57:56,194;1706651876194;-1,15727;-0,508602;-0,274285;0,189878;;;;;RELAX
;20240130101353;20240130_10:57:56,211;1706651876211;-1,15727;-0,508602;-0,274285;0,189878;;;;;RELAX
;20240130101353;20240130_10:57:56,226;1706651876226;-0,197623;-0,0600273;0,055463;-0,156203;;;;;RELAX
;20240130101353;20240130_10:57:56,244;1706651876244;-0,052337;0,0543107;0,992846;-0,789017;;;;;RELAX
;20240130101353;20240130_10:57:56,263;1706651876263;0,187748;-0,514922;0,342188;-0,207797;;;;;RELAX
;20240130101353;20240130_10:57:56,276;1706651876276;-0,0023637;-0,057443;-0,170733;0,529071;;;;;RELAX
;20240130101353;20240130_10:57:56,295;1706651876295;-1,42529;-0,937988;-0,490782;-0,856621;;;;;RELAX
;20240130101353;20240130_10:57:56,311;1706651876311;0,119297;0,073086;0,587167;0,753159;;;;;RELAX
;20240130101353;20240130_10:57:56,330;1706651876330;1,85525;1,21218;1,36295;0,090431;;;;;RELAX
;20240130101353;20240130_10:57:56,343;1706651876343;1,39788;0,979987;1,09425;0,619363;;;;;RELAX
;20240130101353;20240130_10:57:56,361;1706651876361;0,124656;-0,370996;0,606214;-1,17132;;;;;RELAX
;20240130101353;20240130_10:57:56,377;1706651876377;-0,141142;-1,56493;-0,00418202;-2,15346;;;;;RELAX
;20240130101353;20240130_10:57:56,393;1706651876393;0,810476;0,15255;0,135792;0,964446;;;;;RELAX
;20240130101353;20240130_10:57:56,410;1706651876410;1,86228;2,20768;0,230422;0,992082;;;;;RELAX
;20240130101353;20240130_10:57:56,429;1706651876429;2,13526;0,770908;1,00338;-0,157562;;;;;RELAX
;20240130101353;20240130_10:57:56,448;1706651876448;1,63412;1,48898;0,435316;-0,538342;;;;;RELAX
;20240130101353;20240130_10:57:56,462;1706651876462;0,439091;1,03396;0,0320399;0,042646;;;;;RELAX
;20240130101353;20240130_10:57:56,477;1706651876477;0,998303;2,32534;-0,405301;0,14215;;;;;RELAX
;20240130101353;20240130_10:57:56,494;1706651876494;0,655311;0,22767;0,759039;2,56322;;;;;RELAX
;20240130101353;20240130_10:57:56,518;1706651876518;0,546707;1,98332;-0,163502;1,99568;;;;;RELAX
;20240130101353;20240130_10:57:56,528;1706651876528;0,546707;1,98332;-0,163502;1,99568;;;;;RELAX
;20240130101353;20240130_10:57:56,546;1706651876546;-0,566559;0,440521;0,0806678;0,563654;;;;;RELAX
;20240130101353;20240130_10:57:56,562;1706651876562;-0,430816;-1,86093;-0,046333;-0,574854;;;;;RELAX
;20240130101353;20240130_10:57:56,576;1706651876576;-0,654787;0,635029;-2,04344;0,832638;;;;;RELAX
;20240130101353;20240130_10:57:56,594;1706651876594;0,10138;1,87455;0,692201;1,53743;;;;;RELAX
;20240130101353;20240130_10:57:56,624;1706651876624;-0,134932;0,880701;-0,674999;0,071121;;;;;RELAX
;20240130101353;20240130_10:57:56,642;1706651876642;0,141084;-0,224915;0,0976503;-0,336476;;;;;RELAX
;20240130101353;20240130_10:57:56,674;1706651876674;0,0901493;0,474787;0,0521899;0,781895;;;;;BLINK
;20240130101353;20240130_10:57:56,696;1706651876696;-0,412364;0,0720028;-0,592976;0,461008;;;;;BLINK
;20240130101353;20240130_10:57:56,711;1706651876711;-1,42684;-0,214405;-0,0076089;0,0196889;;;;;BLINK
;20240130101353;20240130_10:57:56,732;1706651876732;-0,631233;-2,10274;-0,240401;-1,36061;;;;;BLINK
;20240130101353;20240130_10:57:56,743;1706651876743;-0,988919;-1,74986;-0,597324;-1,47796;;;;;BLINK
;20240130101353;20240130_10:57:56,760;1706651876760;-0,988919;-1,74986;-0,597324;-1,47796;;;;;BLINK
;20240130101353;20240130_10:57:56,776;1706651876776;0,0601836;-0,549693;0,600102;-0,295715;;;;;BLINK
;20240130101353;20240130_10:57:56,792;1706651876792;-2,42786;-2,69675;-1,92438;-1,83396;;;;;BLINK
;20240130101353;20240130_10:57:56,808;1706651876808;-2,64159;-3,09254;-1,57995;-2,15925;;;;;BLINK
;20240130101353;20240130_10:57:56,827;1706651876827;-2,64159;-3,09254;-1,57995;-2,15925;;;;;BLINK
;20240130101353;20240130_10:57:56,843;1706651876843;-1,12223;-0,393441;-0,043486;-0,608952;;;;;BLINK
;20240130101353;20240130_10:57:56,860;1706651876860;-0,463686;-0,505344;0,245064;-0,289208;;;;;BLINK
;20240130101353;20240130_10:57:56,876;1706651876876;-1,03665;-1,15792;-0,266287;-0,709046;;;;;BLINK
;20240130101353;20240130_10:57:56,893;1706651876893;-1,34127;-2,02297;-0,997412;-1,73027;;;;;BLINK
;20240130101353;20240130_10:57:56,909;1706651876909;-0,378532;1,13365;-0,0418331;0,167851;;;;;BLINK
;20240130101353;20240130_10:57:56,925;1706651876925;-0,005424;0,285818;-0,198676;0,833086;;;;;BLINK
;20240130101353;20240130_10:57:56,943;1706651876943;-1,80989;-1,42228;-0,0684045;0,191446;;;;;BLINK
;20240130101353;20240130_10:57:56,960;1706651876960;-3,17972;-0,31702;-2,34183;-0,35315;;;;;BLINK
;20240130101353;20240130_10:57:56,975;1706651876975;-4,97376;-0,55705;-4,49457;-4,38423;;;;;BLINK
;20240130101353;20240130_10:57:56,994;1706651876994;-6,41454;-6,28387;-0,54584;-4,39221;;;;;BLINK
;20240130101353;20240130_10:57:57,010;1706651877010;-7,14059;-8,21854;-6,01994;-6,24977;;;;;BLINK
;20240130101353;20240130_10:57:57,028;1706651877028;-8,26375;-7,26258;-6,09762;-6,64595;;;;;BLINK
;20240130101353;20240130_10:57:57,043;1706651877043;-6,41724;-6,78337;-5,25751;-5,17571;;;;;BLINK
;20240130101353;20240130_10:57:57,059;1706651877059;-6,99588;-7,20783;-0,61416;-5,02562;;;;;BLINK
;20240130101353;20240130_10:57:57,077;1706651877077;-1,95602;-4,64399;-2,75426;-4,77531;;;;;BLINK
;20240130101353;20240130_10:57:57,092;1706651877092;-0,16977;-2,07506;-1,90645;-2,73282;;;;;BLINK
;20240130101353;20240130_10:57:57,110;1706651877110;-2,48035;-2,08353;-0,02068;-0,21863;;;;;BLINK
;20240130101353;20240130_10:57:57,127;1706651877127;-2,35221;-1,66216;-1,56131;-1,78436;;;;;BLINK
;20240130101353;20240130_10:57:57,144;1706651877144;-0,527775;-1,17868;-0,735633;-0,722806;;;;;BLINK
;20240130101353;20240130_10:57:57,160;1706651877160;0,648302;1,36105;-0,561488;0,349589;;;;;BLINK
;20240130101353;20240130_10:57:57,177;1706651877177;0,503115;1,19171;-0,554027;0,652633;;;;;BLINK
;20240130101353;20240130_10:57:57,193;1706651877193;2,15912;1,00682;2,49492;0,10761;;;;;BLINK
;20240130101353;20240130_10:57:57,210;1706651877210;1,27689;1,21756;1,99062;1,50851;;;;;BLINK
;20240130101353;20240130_10:57:57,226;1706651877226;1,03686;1,75765;1,68584;2,09474;;;;;BLINK
;20240130101353;20240130_10:57:57,243;1706651877243;2,85992;2,41312;2,43024;2,76437;;;;;BLINK
;20240130101353;20240130_10:57:57,260;1706651877260;3,98297;0,02958;2,85134;2,45024;;;;;BLINK
;20240130101353;20240130_10:57:57,276;1706651877276;4,41829;3,56695;0,30408;2,04338;;;;;BLINK
;20240130101353;20240130_10:57:57,295;1706651877295;5,29844;4,55454;4,00801;0,28966;;;;;BLINK
;20240130101353;20240130_10:57:57,312;1706651877312;4,61037;3,78937;3,58548;2,93563;;;;;BLINK
;20240130101353;20240130_10:57:57,326;1706651877326;0,29474;2,59984;2,88964;2,51985;;;;;BLINK
;20240130101353;20240130_10:57:57,344;1706651877344;4,77491;3,34702;3,18407;2,98488;;;;;BLINK
