_id;timestamp;experiment;O1;O2;T3;T4;timestamp_ms;label
;2024-02-27T21:25:18,506Z;37;0,21114800000000;-1,53663000000000;-0,70878600000000;-0,06106300000000;1709069118506;Noise
;2024-02-27T21:25:18,511Z;37;0,13869800000000;-1,53663000000000;-0,70878600000000;-0,06106300000000;1709069118511;Noise
;2024-02-27T21:25:18,516Z;37;0,39428400000000;-2,01539000000000;-2,86599000000000;-0,24091200000000;1709069118516;Noise
;2024-02-27T21:25:18,521Z;37;0,39428400000000;-2,01539000000000;-2,86599000000000;-0,24091200000000;1709069118521;Noise
;2024-02-27T21:25:18,527Z;37;0,39428400000000;-1,46875000000000;-1,52431000000000;-0,09926420000000;1709069118527;Noise
;2024-02-27T21:25:18,532Z;37;1,22985000000000;-0,12084000000000;-1,24561000000000;-0,31644500000000;1709069118532;Noise
;2024-02-27T21:25:18,536Z;37;1,22985000000000;-0,12084000000000;-1,24561000000000;-0,31644500000000;1709069118536;Noise
;2024-02-27T21:25:18,541Z;37;1,22985000000000;-0,12084000000000;-1,24561000000000;-0,31644500000000;1709069118541;Noise
;2024-02-27T21:25:18,546Z;37;0,37012700000000;-1,12193000000000;-2,02123000000000;-0,58830800000000;1709069118546;Noise
;2024-02-27T21:25:18,550Z;37;0,37012700000000;-1,12193000000000;-2,02123000000000;-0,58830800000000;1709069118550;Noise
;2024-02-27T21:25:18,555Z;37;0,80914400000000;-0,71651400000000;-2,02123000000000;-0,06851920000000;1709069118555;Noise
;2024-02-27T21:25:18,560Z;37;1,32173000000000;0,14331300000000;-1,04172000000000;0,74053100000000;1709069118560;Noise
;2024-02-27T21:25:18,566Z;37;1,32173000000000;0,14331300000000;-1,04172000000000;0,74053100000000;1709069118566;Noise
;2024-02-27T21:25:18,571Z;37;1,32173000000000;0,14331300000000;-1,04172000000000;0,74053100000000;1709069118571;Noise
;2024-02-27T21:25:18,575Z;37;2,30379000000000;0,35487400000000;-0,77253300000000;0,65224300000000;1709069118575;Noise
;2024-02-27T21:25:18,581Z;37;2,30379000000000;0,35487400000000;-0,77253300000000;0,65224300000000;1709069118581;Noise
;2024-02-27T21:25:18,586Z;37;2,30379000000000;0,35487400000000;-0,77253300000000;0,65224300000000;1709069118585;Noise
;2024-02-27T21:25:18,590Z;37;2,32441000000000;0,51349500000000;-0,32780900000000;0,04384800000000;1709069118590;Noise
;2024-02-27T21:25:18,595Z;37;2,10977000000000;0,51349500000000;-0,32780900000000;0,04384800000000;1709069118595;Noise
;2024-02-27T21:25:18,601Z;37;2,10977000000000;0,51349500000000;-0,32780900000000;0,04384800000000;1709069118601;Noise
;2024-02-27T21:25:18,607Z;37;3,02103000000000;0,56061300000000;-1,20656000000000;1,46501000000000;1709069118607;Noise
;2024-02-27T21:25:18,611Z;37;1,97981000000000;0,56061300000000;-1,20656000000000;1,46501000000000;1709069118611;Noise
;2024-02-27T21:25:18,616Z;37;1,97981000000000;0,56061300000000;-1,20656000000000;1,46501000000000;1709069118616;Noise
;2024-02-27T21:25:18,620Z;37;0,79753600000000;-0,57612600000000;-1,64096000000000;0,67781700000000;1709069118620;Noise
;2024-02-27T21:25:18,626Z;37;0,79753600000000;-0,57612600000000;-1,64096000000000;0,67781700000000;1709069118626;Noise
;2024-02-27T21:25:18,631Z;37;0,79753600000000;-1,38648000000000;-1,64096000000000;0,67781700000000;1709069118631;Noise
;2024-02-27T21:25:18,636Z;37;0,56008900000000;-1,24042000000000;-0,64714700000000;-0,15819800000000;1709069118635;Noise
;2024-02-27T21:25:18,641Z;37;0,56008900000000;-1,24042000000000;-0,64714700000000;-0,15819800000000;1709069118641;Noise
;2024-02-27T21:25:18,646Z;37;0,56008900000000;-1,24042000000000;-0,64714700000000;-0,15819800000000;1709069118646;Noise
;2024-02-27T21:25:18,651Z;37;0,66470200000000;-0,63974400000000;-0,64714700000000;0,23360400000000;1709069118651;Noise
;2024-02-27T21:25:18,656Z;37;0,66470200000000;-0,63974400000000;0,71764700000000;0,23360400000000;1709069118656;Noise
;2024-02-27T21:25:18,661Z;37;0,66470200000000;-0,63974400000000;0,71764700000000;0,23360400000000;1709069118660;Noise
;2024-02-27T21:25:18,666Z;37;0,66470200000000;-0,63974400000000;-0,84710500000000;0,23360400000000;1709069118666;Noise
;2024-02-27T21:25:18,671Z;37;1,38701000000000;-0,42508900000000;-2,08722000000000;0,24342700000000;1709069118670;Noise
;2024-02-27T21:25:18,675Z;37;1,38701000000000;-0,42508900000000;-2,08722000000000;0,24342700000000;1709069118675;Noise
;2024-02-27T21:25:18,680Z;37;1,38701000000000;-0,42508900000000;-2,08722000000000;0,24342700000000;1709069118680;Noise
;2024-02-27T21:25:18,685Z;37;1,38718000000000;-0,80718900000000;-2,01696000000000;0,06151210000000;1709069118685;Noise
;2024-02-27T21:25:18,690Z;37;1,38718000000000;-0,80718900000000;-2,01696000000000;0,06151210000000;1709069118690;Noise
;2024-02-27T21:25:18,695Z;37;0,26445500000000;-1,26429000000000;-0,74072800000000;0,02220300000000;1709069118694;Noise
;2024-02-27T21:25:18,700Z;37;0,52782300000000;-1,10349000000000;-0,50387300000000;-0,42946500000000;1709069118700;Noise
;2024-02-27T21:25:18,705Z;37;0,52782300000000;-1,10349000000000;-0,50387300000000;-0,42946500000000;1709069118705;Noise
;2024-02-27T21:25:18,710Z;37;0,05696200000000;-0,11951000000000;-1,46126000000000;-0,24309800000000;1709069118709;Noise
;2024-02-27T21:25:18,714Z;37;0,05696200000000;-1,01072000000000;-1,46126000000000;-0,24309800000000;1709069118714;Noise
;2024-02-27T21:25:18,719Z;37;0,05696200000000;-1,01072000000000;-1,46126000000000;-0,24309800000000;1709069118718;Noise
;2024-02-27T21:25:18,724Z;37;-0,49800900000000;-1,51435000000000;-0,98567300000000;-0,56855300000000;1709069118724;Noise
;2024-02-27T21:25:18,728Z;37;-0,49800900000000;-1,51435000000000;-0,98567300000000;-0,56855300000000;1709069118728;Noise
;2024-02-27T21:25:18,733Z;37;-0,49800900000000;-1,51435000000000;-0,98567300000000;-0,56855300000000;1709069118733;Noise
;2024-02-27T21:25:18,737Z;37;-0,27091600000000;-1,15646000000000;-0,22635800000000;-0,87873400000000;1709069118737;Noise
;2024-02-27T21:25:18,742Z;37;-0,27091600000000;-1,15646000000000;-0,22635800000000;-0,87873400000000;1709069118742;Noise
;2024-02-27T21:25:18,746Z;37;-0,27091600000000;-1,15646000000000;-0,22635800000000;-0,87873400000000;1709069118746;Noise
;2024-02-27T21:25:18,751Z;37;-0,07457010000000;-1,51042000000000;-0,05829780000000;-1,27627000000000;1709069118751;Noise
;2024-02-27T21:25:18,756Z;37;-0,29065200000000;-0,17832000000000;-1,43174000000000;-1,10204000000000;1709069118755;Noise
;2024-02-27T21:25:18,761Z;37;-0,29065200000000;-0,17832000000000;-1,43174000000000;-1,10204000000000;1709069118761;Noise
;2024-02-27T21:25:18,766Z;37;-0,29065200000000;-0,17832000000000;-1,43174000000000;-1,10204000000000;1709069118766;Noise
;2024-02-27T21:25:18,771Z;37;-0,06644800000000;-1,04073000000000;-0,90804500000000;-0,33321100000000;1709069118771;Noise
;2024-02-27T21:25:18,776Z;37;-0,06644800000000;-1,04073000000000;-0,90804500000000;-0,33321100000000;1709069118776;Noise
;2024-02-27T21:25:18,780Z;37;-0,06644800000000;-1,04073000000000;-0,90804500000000;-0,33321100000000;1709069118780;Noise
;2024-02-27T21:25:18,785Z;37;0,09700820000000;-0,22758400000000;0,46075900000000;0,53323300000000;1709069118785;Noise
;2024-02-27T21:25:18,790Z;37;0,09700820000000;-0,22758400000000;0,46075900000000;0,53323300000000;1709069118790;Noise
;2024-02-27T21:25:18,795Z;37;0,09700820000000;-0,22758400000000;0,46075900000000;0,53323300000000;1709069118795;Noise
